Estado,Região,CodMun,Município,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano
Goiás,Centro Oeste,521380,Morrinhos,94.7728495,90.0781818,14.1300321,0.734,0.0072036,-0.0022785,0.1030012
Goiás,Centro Oeste,521385,Morro Agudo de Goiás,92.4977043,100.0000000,1.8475627,0.695,0.0629720,0.0000000,0.3871266
Goiás,Centro Oeste,521390,Mossâmedes,91.4185376,100.0000000,1.8542847,0.706,-0.0039792,0.0000000,0.1248256
Goiás,Centro Oeste,521400,Mozarlândia,97.9754233,77.6072727,12.4498856,0.683,0.0032068,0.0225421,0.0014068
Goiás,Centro Oeste,521405,Mundo Novo,93.5227273,100.0000000,1.1747305,0.634,0.0476961,0.0000000,0.0120328
Goiás,Centro Oeste,521410,Mutunópolis,70.5372595,99.0918182,1.5221354,0.68,0.1462776,0.0011088,0.0416851
Goiás,Centro Oeste,521440,Nazário,87.5741001,100.0000000,8.2675151,0.71,-0.0536485,0.0000000,0.1153286
Goiás,Centro Oeste,521450,Nerópolis,95.5075650,100.0000000,12.4798217,0.721,-0.0109778,0.0000000,0.0247106
Goiás,Centro Oeste,521460,Niquelândia,83.9104549,96.5527273,8.5686370,0.715,-0.0267328,-0.0098185,-0.0033394
Goiás,Centro Oeste,521470,Nova América,95.7988981,100.0000000,1.6312520,0.678,0.0390443,0.0000000,0.0344844
Goiás,Centro Oeste,521480,Nova Aurora,82.6818182,100.0000000,5.0805632,0.747,-0.0681842,0.0000000,0.0763506
Goiás,Centro Oeste,521483,Nova Crixás,88.2192672,100.0000000,1.5430878,0.643,0.0219823,0.0000000,0.0598931
Goiás,Centro Oeste,521486,Nova Glória,90.9182238,83.0890909,1.6001944,0.681,-0.0435275,0.0095209,-0.0114033
Goiás,Centro Oeste,521487,Nova Iguaçu de Goiás,98.6013986,100.0000000,7.6231165,0.655,0.0027972,0.0000000,0.1575250
Goiás,Centro Oeste,521490,Nova Roma,88.6507379,99.4809091,0.7792349,0.634,0.0094241,0.0052785,-0.0431990
Goiás,Centro Oeste,521500,Nova Veneza,94.6056388,97.2754545,7.5915413,0.718,-0.0088821,-0.0299700,0.0415691
Goiás,Centro Oeste,521520,Novo Brasil,94.7055326,100.0000000,2.9577464,0.699,0.0070017,0.0000000,0.0922515
Goiás,Centro Oeste,521523,Novo Gama,84.7814682,64.8290909,4.7529920,0.684,-0.0134355,0.0170625,0.0582638
Goiás,Centro Oeste,521525,Novo Planalto,66.8093500,100.0000000,1.0424035,0.658,0.1322115,0.0000000,0.0426408
Goiás,Centro Oeste,521530,Orizona,88.1486418,100.0000000,8.3790431,0.715,-0.0128818,0.0000000,0.0586265
Goiás,Centro Oeste,521540,Ouro Verde de Goiás,91.7149571,100.0000000,2.2016992,0.719,0.0156246,0.0000000,0.0454466
Goiás,Centro Oeste,521550,Ouvidor,97.8908368,83.0154545,20.6497940,0.747,0.0007641,0.0556988,0.0345042
Goiás,Centro Oeste,521560,Padre Bernardo,81.1558902,97.5509091,4.7286041,0.651,-0.0017378,-0.0088766,-0.1694708
Goiás,Centro Oeste,521570,Palmeiras de Goiás,83.8471866,84.0336364,11.0570568,0.698,0.2175323,0.0395839,0.1919742
Goiás,Centro Oeste,521580,Palmelo,97.8925620,100.0000000,6.1514812,0.73,0.0224854,0.0000000,0.1040617
Goiás,Centro Oeste,521590,Palminópolis,93.5273468,98.4272727,6.0586841,0.722,0.0316337,0.0088376,0.1583545
Goiás,Centro Oeste,521600,Panamá,88.8064620,100.0000000,6.5898730,0.686,0.0200365,0.0000000,0.2907407
Goiás,Centro Oeste,521630,Paranaiguara,93.6877296,100.0000000,5.6000189,0.711,-0.0015258,0.0000000,0.1880328
Goiás,Centro Oeste,521640,Paraúna,94.0626465,100.0000000,6.8465678,0.672,-0.0229687,0.0000000,0.0782055
Goiás,Centro Oeste,521645,Perolândia,86.2473223,100.0000000,35.3950954,0.676,-0.0467549,0.0000000,1.3685022
Goiás,Centro Oeste,521680,Petrolina de Goiás,95.7950419,100.0000000,2.9648607,0.712,0.0086450,0.0000000,0.0551656
Goiás,Centro Oeste,521690,Pilar de Goiás,85.5551868,100.0000000,22.6081203,0.684,0.0726658,0.0000000,0.4219525
Goiás,Centro Oeste,521710,Piracanjuba,95.7485808,77.8445455,5.4512951,0.721,0.0136625,0.0375512,0.0567008
Goiás,Centro Oeste,521720,Piranhas,87.6489512,100.0000000,4.6674494,0.721,0.0026043,0.0000000,0.1285693
Goiás,Centro Oeste,521730,Pirenópolis,88.0179855,91.0836364,3.3515867,0.693,-0.0126767,0.0938448,0.0260447
Goiás,Centro Oeste,521740,Pires do Rio,97.4547950,69.7272727,15.4463002,0.744,0.0065401,0.0259509,0.0973162
Goiás,Centro Oeste,521760,Planaltina,92.0335869,100.0000000,4.2780585,0.669,-0.0557015,0.0000000,0.0694681
Goiás,Centro Oeste,521770,Pontalina,87.5695900,98.1509091,4.8048535,0.687,-0.0043696,0.0000954,0.0377081
Goiás,Centro Oeste,521800,Porangatu,84.9015559,58.9390909,4.4987381,0.727,0.0081868,0.0444683,0.0110489
Goiás,Centro Oeste,521805,Porteirão,92.6243568,96.3718182,16.0187618,0.684,-0.0252649,-0.0113462,0.3045762
Goiás,Centro Oeste,521830,Posse,79.6856838,76.8963636,4.3989546,0.659,0.0504948,0.0610405,0.0591795
Goiás,Centro Oeste,521839,Professor Jamil,83.8759690,100.0000000,2.6598131,0.684,0.4846269,0.0000000,0.1908496
Goiás,Centro Oeste,521850,Quirinópolis,91.8604169,81.6727273,28.4059233,0.74,-0.0027729,0.0386123,0.0365759
Goiás,Centro Oeste,521860,Rialma,82.6367551,96.6545455,5.5768505,0.727,0.0165648,-0.0368000,0.0339177
Goiás,Centro Oeste,521870,Rianápolis,93.7157270,100.0000000,2.7203015,0.693,0.0018964,0.0000000,0.0018474
Goiás,Centro Oeste,521878,Rio Quente,93.8565129,91.2236364,49.4103531,0.731,0.0377821,-0.0255821,-0.1701223
Goiás,Centro Oeste,521880,Rio Verde,90.8575763,32.9590909,27.2002532,0.754,-0.0123852,0.0735695,0.0106229
Goiás,Centro Oeste,521890,Rubiataba,91.9840703,100.0000000,7.0496877,0.719,-0.0153034,0.0000000,0.0035965
Goiás,Centro Oeste,521900,Sanclerlândia,94.2700570,97.2463636,4.2919007,0.736,0.0085415,0.0145296,0.0300493
Goiás,Centro Oeste,521910,Santa Bárbara de Goiás,93.2295820,100.0000000,3.4237039,0.706,-0.0240863,0.0000000,0.0766444
Goiás,Centro Oeste,521920,Santa Cruz de Goiás,89.1710983,99.4318182,1.9401953,0.688,0.0263195,0.0066667,0.1087414
Goiás,Centro Oeste,521925,Santa Fé de Goiás,90.1061641,67.7418182,1.5410361,0.713,0.0088947,-0.0109976,0.0831977
Goiás,Centro Oeste,521930,Santa Helena de Goiás,88.3937322,100.0000000,13.7940134,0.724,-0.0069533,0.0000000,0.0721787
Goiás,Centro Oeste,521935,Santa Isabel,94.6299889,98.4836364,8.4497887,0.683,0.0068749,0.0043255,-0.0720745
Goiás,Centro Oeste,521940,Santa Rita do Araguaia,82.6269352,72.4709091,13.2284470,0.714,-0.0607827,0.0623280,-0.0071120
Goiás,Centro Oeste,521945,Santa Rita do Novo Destino,76.5015749,99.6800000,0.8674650,0.634,0.1757529,0.0036484,0.6683834
Goiás,Centro Oeste,521960,Santa Tereza de Goiás,88.2575980,94.3318182,2.1781178,0.665,0.0279361,0.0198364,0.0101304
Goiás,Centro Oeste,521970,Santa Terezinha de Goiás,82.8368776,98.8636364,2.4635924,0.701,0.0476842,0.0142857,0.0727930
Goiás,Centro Oeste,521971,Santo Antônio da Barra,98.8471673,97.9100000,9.0721667,0.691,0.0005599,0.0068633,0.3800210
Goiás,Centro Oeste,521973,Santo Antônio de Goiás,93.0281051,90.5618182,13.0977918,0.723,-0.0089088,0.0283191,0.0119891
Goiás,Centro Oeste,521975,Santo Antônio do Descoberto,91.1193054,91.0918182,4.9748907,0.665,-0.0225720,-0.0183212,-0.0058299
Goiás,Centro Oeste,521980,São Domingos,88.2597418,93.4363636,2.0545864,0.597,0.0512974,0.0020571,0.0401659
Goiás,Centro Oeste,521990,São Francisco de Goiás,92.1909569,100.0000000,1.3862660,0.651,0.0193966,0.0000000,-0.0055880
Goiás,Centro Oeste,522000,São João d'Aliança,98.8724454,94.8845455,1.4785263,0.685,0.0017562,0.0339551,0.0555699
